(pcgenv) dhern167@fedora:~/MinecraftPCG/schema-to-lite/longformerV2$ python layerencoder2.py 
Tokenizer vocab size: 50269
Air token id: 2456
/home/dhern167/miniconda3/envs/pcgenv/lib/python3.10/site-packages/transformers/training_args.py:1545: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
{'loss': 0.0098, 'grad_norm': 0.003072113497182727, 'learning_rate': 5.676686580059214e-06, 'epoch': 2.15}                                                                                                      
{'loss': 0.0103, 'grad_norm': 0.8008934855461121, 'learning_rate': 5.5713247147327496e-06, 'epoch': 2.17}                                                                                                       
{'loss': 0.0107, 'grad_norm': 0.6068026423454285, 'learning_rate': 5.465962849406287e-06, 'epoch': 2.18}                                                                                                        
{'loss': 0.0098, 'grad_norm': 2.7953290939331055, 'learning_rate': 5.360600984079822e-06, 'epoch': 2.2}                                                                                                         
{'loss': 0.0104, 'grad_norm': 0.0004403762868605554, 'learning_rate': 5.2552391187533595e-06, 'epoch': 2.21}                                                                                                    
{'loss': 0.0091, 'grad_norm': 0.8289862275123596, 'learning_rate': 5.1498772534268944e-06, 'epoch': 2.23}                                                                                                       
{'loss': 0.0087, 'grad_norm': 0.399372935295105, 'learning_rate': 5.044515388100432e-06, 'epoch': 2.24}                                                                                                         
{'loss': 0.0091, 'grad_norm': 0.6004356741905212, 'learning_rate': 4.939153522773968e-06, 'epoch': 2.26}                                                                                                        
{'loss': 0.0079, 'grad_norm': 0.33095449209213257, 'learning_rate': 4.833791657447504e-06, 'epoch': 2.28}                                                                                                       
{'loss': 0.0086, 'grad_norm': 1.916648030281067, 'learning_rate': 4.72842979212104e-06, 'epoch': 2.29}                                                                                                          
{'loss': 0.0093, 'grad_norm': 0.01617169752717018, 'learning_rate': 4.623067926794577e-06, 'epoch': 2.31}                                                                                                       
{'loss': 0.0088, 'grad_norm': 8.645321213407442e-05, 'learning_rate': 4.517706061468113e-06, 'epoch': 2.32}                                                                                                     
{'loss': 0.0102, 'grad_norm': 0.1919180452823639, 'learning_rate': 4.412344196141649e-06, 'epoch': 2.34}                                                                                                        
{'loss': 0.0092, 'grad_norm': 0.08150418102741241, 'learning_rate': 4.306982330815185e-06, 'epoch': 2.35}                                                                                                       
{'loss': 0.0095, 'grad_norm': 0.8969321250915527, 'learning_rate': 4.201620465488722e-06, 'epoch': 2.37}                                                                                                        
{'loss': 0.0089, 'grad_norm': 0.33190417289733887, 'learning_rate': 4.0962586001622574e-06, 'epoch': 2.39}                                                                                                      
{'loss': 0.0083, 'grad_norm': 3.296820796094835e-05, 'learning_rate': 3.991107458566447e-06, 'epoch': 2.4}                                                                                                      
{'loss': 0.0089, 'grad_norm': 0.004411283414810896, 'learning_rate': 3.886167040701289e-06, 'epoch': 2.42}                                                                                                      
{'loss': 0.01, 'grad_norm': 0.0001200358456117101, 'learning_rate': 3.7808051753748253e-06, 'epoch': 2.43}                                                                                                      
{'loss': 0.0088, 'grad_norm': 0.3518136441707611, 'learning_rate': 3.6754433100483615e-06, 'epoch': 2.45}                                                                                                       
{'loss': 0.0073, 'grad_norm': 1.0384763479232788, 'learning_rate': 3.5700814447218978e-06, 'epoch': 2.47}                                                                                                       
{'loss': 0.0078, 'grad_norm': 0.00035310621024109423, 'learning_rate': 3.464719579395434e-06, 'epoch': 2.48}                                                                                                    
{'loss': 0.0094, 'grad_norm': 0.27923130989074707, 'learning_rate': 3.35935771406897e-06, 'epoch': 2.5}                                                                                                         
{'loss': 0.0078, 'grad_norm': 0.5755966305732727, 'learning_rate': 3.253995848742507e-06, 'epoch': 2.51}                                                                                                        
{'loss': 0.0083, 'grad_norm': 1.0230506658554077, 'learning_rate': 3.148633983416043e-06, 'epoch': 2.53}                                                                                                        
{'loss': 0.008, 'grad_norm': 0.37791335582733154, 'learning_rate': 3.0434828418202316e-06, 'epoch': 2.54}                                                                                                       
{'loss': 0.0089, 'grad_norm': 0.19693757593631744, 'learning_rate': 2.938120976493768e-06, 'epoch': 2.56}                                                                                                       
{'loss': 0.0089, 'grad_norm': 0.00010318911517970264, 'learning_rate': 2.832759111167304e-06, 'epoch': 2.58}                                                                                                    
{'loss': 0.0089, 'grad_norm': 0.3981495797634125, 'learning_rate': 2.7273972458408403e-06, 'epoch': 2.59}                                                                                                       
{'loss': 0.0091, 'grad_norm': 9.388434409629554e-05, 'learning_rate': 2.6220353805143765e-06, 'epoch': 2.61}                                                                                                    
{'loss': 0.0089, 'grad_norm': 0.2662813067436218, 'learning_rate': 2.5166735151879127e-06, 'epoch': 2.62}                                                                                                       
{'loss': 0.0092, 'grad_norm': 1.1399140357971191, 'learning_rate': 2.4113116498614494e-06, 'epoch': 2.64}                                                                                                       
{'loss': 0.0093, 'grad_norm': 0.16534431278705597, 'learning_rate': 2.3059497845349856e-06, 'epoch': 2.66}                                                                                                      
{'loss': 0.0082, 'grad_norm': 0.00016206294822040945, 'learning_rate': 2.2005879192085218e-06, 'epoch': 2.67}                                                                                                   
{'loss': 0.0083, 'grad_norm': 0.00013084194506518543, 'learning_rate': 2.095226053882058e-06, 'epoch': 2.69}                                                                                                    
{'loss': 0.0097, 'grad_norm': 0.0011122061405330896, 'learning_rate': 1.9898641885555946e-06, 'epoch': 2.7}                                                                                                     
{'loss': 0.0089, 'grad_norm': 0.00019960162171628326, 'learning_rate': 1.8845023232291306e-06, 'epoch': 2.72}                                                                                                   
{'loss': 0.0083, 'grad_norm': 0.4611920714378357, 'learning_rate': 1.7791404579026669e-06, 'epoch': 2.73}                                                                                                       
{'loss': 0.008, 'grad_norm': 0.5737361311912537, 'learning_rate': 1.673989316306856e-06, 'epoch': 2.75}                                                                                                         
{'loss': 0.0089, 'grad_norm': 0.5255351066589355, 'learning_rate': 1.5686274509803923e-06, 'epoch': 2.77}                                                                                                       
{'loss': 0.008, 'grad_norm': 1.650009036064148, 'learning_rate': 1.4632655856539285e-06, 'epoch': 2.78}                                                                                                         
{'loss': 0.0085, 'grad_norm': 1.027113676071167, 'learning_rate': 1.3579037203274647e-06, 'epoch': 2.8}                                                                                                         
{'loss': 0.0086, 'grad_norm': 0.05847752466797829, 'learning_rate': 1.252541855001001e-06, 'epoch': 2.81}                                                                                                       
{'loss': 0.0074, 'grad_norm': 0.28916025161743164, 'learning_rate': 1.1471799896745372e-06, 'epoch': 2.83}                                                                                                      
{'loss': 0.0084, 'grad_norm': 0.00018703904061112553, 'learning_rate': 1.0418181243480736e-06, 'epoch': 2.84}                                                                                                   
{'loss': 0.009, 'grad_norm': 0.41896864771842957, 'learning_rate': 9.366669827522627e-07, 'epoch': 2.86}                                                                                                        
{'loss': 0.0079, 'grad_norm': 8.372493175556883e-05, 'learning_rate': 8.313051174257989e-07, 'epoch': 2.88}                                                                                                     
{'loss': 0.0098, 'grad_norm': 0.016624409705400467, 'learning_rate': 7.259432520993353e-07, 'epoch': 2.89}                                                                                                      
{'loss': 0.0086, 'grad_norm': 0.239088237285614, 'learning_rate': 6.207921105035244e-07, 'epoch': 2.91}                                                                                                         
{'loss': 0.0092, 'grad_norm': 0.3574257791042328, 'learning_rate': 5.154302451770606e-07, 'epoch': 2.92}                                                                                                        
{'loss': 0.0081, 'grad_norm': 0.17836116254329681, 'learning_rate': 4.1027910358124986e-07, 'epoch': 2.94}                                                                                                      
{'loss': 0.0082, 'grad_norm': 0.09651924669742584, 'learning_rate': 3.049172382547861e-07, 'epoch': 2.96}                                                                                                       
{'loss': 0.0082, 'grad_norm': 1.9030158519744873, 'learning_rate': 1.9955537292832234e-07, 'epoch': 2.97}                                                                                                       
{'loss': 0.009, 'grad_norm': 2.739274740219116, 'learning_rate': 9.41935076018586e-08, 'epoch': 2.99}                                                                                                           
{'eval_loss': 0.007948250509798527, 'eval_runtime': 332.9787, 'eval_samples_per_second': 21.115, 'eval_steps_per_second': 10.559, 'epoch': 3.0}                                                                 
